StockCode,Recency,Frequency,Monetary,R,F,M,RFM_Score,LoyalCustomer,Predicted_LoyalCustomer
21412,339,1,2.52,4,1,1,6,0,0
21413,26,17,75.02,3,2,1,6,0,0
21414,290,1,2.1,4,1,1,6,0,0
21415,1,46,454.42,1,2,2,5,0,0
21416,262,4,18.75,4,1,1,6,0,0
21417,1,69,631.9,1,3,2,6,0,0
21418,2,25,189.75,2,2,2,6,0,0
21420,2,19,123.66,2,2,1,5,0,0
21421,199,14,348.43000000000006,4,1,2,7,0,0
21422,9,65,1298.3999999999999,3,2,3,8,0,0
21424,45,75,1415.77,4,3,3,10,1,1
21425,3,30,320.49,2,2,2,6,0,0
21426,5,49,632.98,3,2,2,7,0,0
21427,3,44,262.74,2,2,2,6,0,0
21428,3,268,5304.13,2,4,4,10,1,1
21429,1,295,3473.0499999999997,1,4,4,9,1,1
21430,1,489,12072.48,1,4,4,9,1,1
21439,1,131,2199.63,1,3,3,7,0,0
21441,1,62,292.03,1,2,2,5,0,0
21442,1,59,310.49,1,2,2,5,0,0
21445,140,22,272.5,4,2,2,8,0,0
21446,1,105,640.92,1,3,2,6,0,0
21447,79,149,1479.35,4,3,3,10,1,1
21448,55,77,600.8699999999999,4,3,2,9,1,1
21452,1,196,2632.26,1,4,4,9,1,1
21454,2,136,486.01,2,3,2,7,0,0
21455,2,118,527.8399999999999,2,3,2,7,0,0
21456,2,26,223.47,2,2,2,6,0,0
21457,30,25,165.89,3,2,2,7,0,0
21458,30,36,256.54,3,2,2,7,0,0
21459,17,21,165.98,3,2,2,7,0,0
21460,262,11,56.779999999999994,4,1,1,6,0,0
21461,17,8,29.71,3,1,1,5,0,0
21462,1,73,932.4,1,3,3,7,0,0
21463,3,142,3663.8500000000004,2,3,4,9,1,1
21464,8,109,1093.5,3,3,3,9,1,1
21465,8,79,897.8,3,3,3,9,1,1
21466,1,112,1116.89,1,3,3,7,0,0
21467,1,106,1011.89,1,3,3,7,0,0
21468,10,66,572.23,3,3,2,8,0,0
21469,3,91,1092.82,2,3,3,8,0,0
21470,2,142,1496.57,2,3,3,8,0,0
21471,1,166,2243.09,1,3,3,7,0,0
21472,147,37,476.41,4,2,2,8,0,0
21473,19,21,618.66,3,2,2,7,0,0
21476,51,24,699.63,4,2,3,9,1,1
21479,1,503,21230.38,1,4,4,9,1,1
21481,1,497,11705.970000000001,1,4,4,9,1,1
21484,1,404,8683.12,1,4,4,9,1,1
21485,1,631,17807.530000000002,1,4,4,9,1,1
21486,367,11,147.88,4,1,2,7,0,0
21488,284,16,566.1700000000001,4,1,2,7,0,0
21491,358,1,1.95,4,1,1,6,0,0
21494,1,314,3581.33,1,4,4,9,1,1
21495,1,166,2366.5,1,3,4,8,0,0
21497,1,230,3430.0,1,4,4,9,1,1
21498,1,338,4343.42,1,4,4,9,1,1
21499,2,219,2902.34,2,4,4,10,1,1
21500,5,213,2593.0,3,4,4,11,1,1
21503,9,24,289.34,3,2,2,7,0,0
21504,2,115,788.97,2,3,3,8,0,0
21506,1,324,2106.05,1,4,3,8,0,0
21507,1,264,1435.36,1,4,3,8,0,0
21508,1,214,1052.02,1,4,3,8,0,0
21509,1,274,1572.28,1,4,3,8,0,0
21518,150,38,132.44,4,2,2,8,0,0
21519,1,249,1404.34,1,4,3,8,0,0
21520,4,59,215.03,3,2,2,7,0,0
21523,1,505,21641.74,1,4,4,9,1,1
21524,1,483,13661.31,1,4,4,9,1,1
21527,208,165,4017.09,4,3,4,11,1,1
21528,1,121,1671.72,1,3,3,7,0,0
21530,1,112,817.7600000000001,1,3,3,7,0,0
21531,2,257,3728.82,2,4,4,10,1,1
21533,1,350,6849.120000000001,1,4,4,9,1,1
21534,3,163,1973.23,2,3,3,8,0,0
21535,1,359,6092.21,1,4,4,9,1,1
21537,3,68,1600.96,2,3,3,8,0,0
21538,365,2,18.75,4,1,1,6,0,0
21539,26,254,4867.7,3,4,4,11,1,1
21544,1,174,1690.23,1,4,3,8,0,0
21547,262,22,253.53000000000003,4,2,2,8,0,0
21555,3,69,350.46999999999997,2,3,2,7,0,0
21556,17,115,2518.07,3,3,4,10,1,1
21557,1,162,1843.6100000000001,1,3,3,7,0,0
21558,1,416,5578.2699999999995,1,4,4,9,1,1
21559,1,583,9783.38,1,4,4,9,1,1
21561,1,215,3132.48,1,4,4,9,1,1
21562,18,28,380.36,3,2,2,7,0,0
21563,1,159,2803.13,1,3,4,8,0,0
21564,1,126,1839.67,1,3,3,7,0,0
21576,2,78,585.34,2,3,2,7,0,0
21577,1,177,1680.6499999999999,1,4,3,8,0,0
21578,5,128,1669.01,3,3,3,9,1,1
21579,4,53,436.72,3,2,2,7,0,0
21580,2,62,444.07,2,2,2,6,0,0
21581,2,80,617.67,2,3,2,7,0,0
21584,3,147,1756.55,2,3,3,8,0,0
21586,33,69,1755.0,4,3,3,10,1,1
21587,53,26,480.75,4,2,2,8,0,0
21588,2,133,3452.7,2,3,4,9,1,1
21591,1,148,2068.64,1,3,3,7,0,0
21592,1,216,2164.46,1,4,3,8,0,0
21594,329,2,8.34,4,1,1,6,0,0
21595,367,2,16.94,4,1,1,6,0,0
21609,101,76,2089.64,4,3,3,10,1,1
21613,43,42,661.9300000000001,4,2,2,8,0,0
21614,193,9,153.29000000000002,4,1,2,7,0,0
21615,1,135,1349.17,1,3,3,7,0,0
21616,1,138,1288.34,1,3,3,7,0,0
21617,18,102,1013.01,3,3,3,9,1,1
21618,25,91,770.87,3,3,3,9,1,1
21619,1,164,1481.4,1,3,3,7,0,0
21620,1,165,1451.99,1,3,3,7,0,0
21621,3,479,24780.83,2,4,4,10,1,1
21622,2,110,2101.44,2,3,3,8,0,0
21623,1,225,23049.89,1,4,4,9,1,1
21624,1,97,1367.26,1,3,3,7,0,0
21625,2,169,2967.31,2,4,4,10,1,1
21626,18,104,1629.6499999999999,3,3,3,9,1,1
21627,46,47,1299.83,4,2,3,9,1,1
21628,2,34,1206.5,2,2,3,7,0,0
21629,1,42,687.95,1,2,2,5,0,0
21630,3,36,727.09,2,2,3,7,0,0
21631,22,27,896.01,3,2,3,8,0,0
21632,325,24,489.74,4,2,2,8,0,0
21633,19,43,908.21,3,2,3,8,0,0
21634,54,28,481.95,4,2,2,8,0,0
21635,150,16,374.96000000000004,4,1,2,7,0,0
21636,4,73,709.66,3,3,3,9,1,1
21637,60,6,136.25,4,1,2,7,0,0
21638,1,40,551.96,1,2,2,5,0,0
21640,1,78,644.03,1,3,2,6,0,0
21641,84,49,451.59,4,2,2,8,0,0
21642,1,107,877.56,1,3,3,7,0,0
21643,24,61,758.31,3,2,3,8,0,0
21644,12,34,300.0,3,2,2,7,0,0
21645,337,1,39.599999999999994,4,1,1,6,0,0
21647,13,26,249.90000000000003,3,2,2,7,0,0
21648,1,67,994.04,1,3,3,7,0,0
21650,1,133,697.41,1,3,3,7,0,0
21651,291,11,208.46999999999997,4,1,2,7,0,0
21654,83,59,509.36,4,2,2,8,0,0
21655,301,5,121.68,4,1,1,6,0,0
21656,220,47,444.58,4,2,2,8,0,0
21657,292,17,223.46,4,2,2,8,0,0
21658,57,236,3846.21,4,4,4,12,1,1
21661,290,3,17.85,4,1,1,6,0,0
21662,116,26,557.3000000000001,4,2,2,8,0,0
21664,54,18,353.97,4,2,2,8,0,0
21666,4,43,283.51,3,2,2,7,0,0
21667,327,2,59.8,4,1,1,6,0,0
21668,1,447,7630.33,1,4,4,9,1,1
21669,1,435,7251.01,1,4,4,9,1,1
21670,1,381,6237.54,1,4,4,9,1,1
21671,1,383,6293.35,1,4,4,9,1,1
21672,1,416,6893.45,1,4,4,9,1,1
21673,1,373,6215.7,1,4,4,9,1,1
21675,1,111,583.56,1,3,2,6,0,0
21676,4,61,245.35999999999999,3,2,2,7,0,0
21677,1,120,748.04,1,3,3,7,0,0
21678,1,32,111.86,1,2,1,4,0,0
21679,2,138,1028.58,2,3,3,8,0,0
21680,1,103,786.31,1,3,3,7,0,0
21681,290,2,19.9,4,1,1,6,0,0
21682,5,56,945.8100000000001,3,2,3,8,0,0
21683,4,58,948.7000000000002,3,2,3,8,0,0
21684,1,47,622.3,1,2,2,5,0,0
21686,68,21,1391.5900000000001,4,2,3,9,1,1
21688,10,57,1101.2800000000002,3,2,3,8,0,0
21689,4,26,369.87,3,2,2,7,0,0
21690,313,7,90.0,4,1,1,6,0,0
21692,288,7,63.75,4,1,1,6,0,0
21693,4,50,1143.3100000000002,3,2,3,8,0,0
21694,4,24,840.33,3,2,3,8,0,0
21695,2,41,875.3800000000001,2,2,3,7,0,0
21696,16,34,725.5000000000001,3,2,3,8,0,0
21698,2,45,164.17,2,2,2,6,0,0
21700,2,199,2365.54,2,4,4,10,1,1
21703,1,300,3565.4300000000003,1,4,4,9,1,1
21704,1,251,4043.14,1,4,4,9,1,1
21705,1,144,1493.77,1,3,3,7,0,0
21706,3,120,1621.76,2,3,3,8,0,0
21707,4,74,763.6600000000001,3,3,3,9,1,1
21708,4,65,873.01,3,2,3,8,0,0
21709,5,59,607.23,3,2,2,7,0,0
21710,15,45,501.98,3,2,2,7,0,0
21711,15,36,513.02,3,2,2,7,0,0
21713,3,162,1868.99,2,3,3,8,0,0
21714,1,230,3043.15,1,4,4,9,1,1
21715,1,231,3507.17,1,4,4,9,1,1
21716,1,245,3934.12,1,4,4,9,1,1
21717,263,41,946.93,4,2,3,9,1,1
21718,1,230,2115.89,1,4,3,8,0,0
21719,4,58,307.44,3,2,2,7,0,0
21720,137,8,48.449999999999996,4,1,1,6,0,0
21721,7,33,179.45999999999998,3,2,2,7,0,0
21722,2,37,96.38,2,2,1,5,0,0
21723,4,59,353.47999999999996,3,2,2,7,0,0
21724,1,81,355.83,1,3,2,6,0,0
21725,22,50,277.24,3,2,2,7,0,0
21726,2,42,204.69,2,2,2,6,0,0
21730,2,139,2587.98,2,3,4,9,1,1
21731,1,861,24214.28,1,4,4,9,1,1
21733,1,754,23381.690000000002,1,4,4,9,1,1
21735,84,96,2960.4,4,3,4,11,1,1
21736,239,6,138.39000000000001,4,1,2,7,0,0
21738,51,21,150.48000000000002,4,2,2,8,0,0
21739,1,111,708.98,1,3,3,7,0,0
21741,24,40,480.1700000000001,3,2,2,7,0,0
21742,1,91,1173.53,1,3,3,7,0,0
21743,88,51,917.1500000000001,4,2,3,9,1,1
21744,15,127,1563.5500000000002,3,3,3,9,1,1
21745,3,215,3501.98,2,4,4,10,1,1
21746,11,229,3785.68,3,4,4,11,1,1
21747,9,55,660.61,3,2,2,7,0,0
21749,10,143,3893.8900000000003,3,3,4,10,1,1
21750,31,24,209.61,3,2,2,7,0,0
21754,1,787,17168.52,1,4,4,9,1,1
21755,1,631,12596.51,1,4,4,9,1,1
21756,1,271,5101.46,1,4,4,9,1,1
21757,296,3,29.700000000000003,4,1,1,6,0,0
21758,8,32,427.46000000000004,3,2,2,7,0,0
21761,5,10,299.5,3,1,2,6,0,0
21763,156,4,169.75,4,1,2,7,0,0
21769,367,2,607.6500000000001,4,1,2,7,0,0
21770,1,389,7968.4800000000005,1,4,4,9,1,1
21773,2,163,1154.17,2,3,3,8,0,0
21774,1,187,1153.65,1,4,3,8,0,0
21775,1,140,720.61,1,3,3,7,0,0
21777,365,8,135.15,4,1,2,7,0,0
21781,152,109,2959.9,4,3,4,11,1,1
21784,99,45,652.9699999999999,4,2,2,8,0,0
21785,297,5,269.61,4,1,2,7,0,0
21786,1,227,927.49,1,4,3,8,0,0
21787,1,246,7583.65,1,4,4,9,1,1
21788,4,88,1051.1399999999999,3,3,3,9,1,1
21789,7,94,823.1999999999999,3,3,3,9,1,1
21790,1,929,12588.21,1,4,4,9,1,1
21791,1,610,10580.65,1,4,4,9,1,1
21792,128,78,1555.67,4,3,3,10,1,1
21793,8,74,1296.6100000000001,3,3,3,9,1,1
21794,45,108,2225.27,4,3,3,10,1,1
21801,41,126,545.38,4,3,2,9,1,1
21802,19,181,920.8199999999999,3,4,3,10,1,1
21803,1,198,1031.56,1,4,3,8,0,0
21804,8,65,830.03,3,2,3,8,0,0
21807,17,30,189.42,3,2,2,7,0,0
21808,1,48,641.58,1,2,2,5,0,0
21809,1,117,1119.56,1,3,3,7,0,0
21810,1,254,3096.54,1,4,4,9,1,1
21811,17,246,2706.12,3,4,4,11,1,1
21812,1,103,1820.5200000000002,1,3,3,7,0,0
21813,1,114,2315.1200000000003,1,3,4,8,0,0
21814,11,15,117.57,3,1,1,5,0,0
21815,16,29,271.68,3,2,2,7,0,0
21816,12,7,49.3,3,1,1,5,0,0
21817,30,58,414.63,3,2,2,7,0,0
21818,2,163,1322.5,2,3,3,8,0,0
21819,1,124,1067.82,1,3,3,7,0,0
21820,4,93,1492.22,3,3,3,9,1,1
21821,5,63,1082.05,3,2,3,8,0,0
21822,1,99,764.13,1,3,3,7,0,0
21823,25,97,854.74,3,3,3,9,1,1
21824,25,118,1137.61,3,3,3,9,1,1
21826,268,36,191.43,4,2,2,8,0,0
21827,255,3,7.5,4,1,1,6,0,0
21828,1,84,439.54,1,3,2,6,0,0
21829,51,178,1506.1,4,4,3,11,1,1
21830,16,101,1147.39,3,3,3,9,1,1
21832,1,199,1841.2499999999998,1,4,3,8,0,0
21833,1,171,4645.13,1,4,4,9,1,1
21836,323,3,26.490000000000002,4,1,1,6,0,0
21839,257,1,5.45,4,1,1,6,0,0
21841,11,21,314.5,3,2,2,7,0,0
21843,1,581,23845.75,1,4,4,9,1,1
21844,3,167,5229.24,2,3,4,9,1,1
21845,12,90,1796.73,3,3,3,9,1,1
21846,1,104,1266.37,1,3,3,7,0,0
21847,23,33,178.89,3,2,2,7,0,0
21849,5,66,558.83,3,3,2,8,0,0
21850,3,55,646.08,2,2,2,6,0,0
21851,4,63,454.99,3,2,2,7,0,0
21864,1,185,2085.79,1,4,3,8,0,0
21865,2,106,625.23,2,3,2,7,0,0
21866,2,193,1296.13,2,4,3,9,1,1
21867,1,121,486.5,1,3,2,6,0,0
21868,4,312,3361.66,3,4,4,11,1,1
21870,108,166,1893.96,4,3,3,10,1,1
21871,1,369,7422.150000000001,1,4,4,9,1,1
21872,1,144,1477.7,1,3,3,7,0,0
21873,1,120,1938.12,1,3,3,7,0,0
21874,1,302,4177.64,1,4,4,9,1,1
21875,1,153,2464.38,1,3,4,8,0,0
21876,1,341,4893.41,1,4,4,9,1,1
21877,1,364,8076.65,1,4,4,9,1,1
21878,1,226,2184.1,1,4,3,8,0,0
21879,1,94,386.77000000000004,1,3,2,6,0,0
21880,2,241,866.58,2,4,3,9,1,1
21881,2,79,383.11,2,3,2,7,0,0
21882,11,70,252.47000000000003,3,3,2,8,0,0
21883,2,134,725.61,2,3,3,8,0,0
21884,6,93,413.76,3,3,2,8,0,0
21888,5,383,6723.29,3,4,4,11,1,1
21889,1,589,8894.79,1,4,4,9,1,1
21890,1,236,3707.86,1,4,4,9,1,1
21891,1,431,10585.32,1,4,4,9,1,1
21892,1,414,4338.41,1,4,4,9,1,1
21894,1,130,908.33,1,3,3,7,0,0
21895,365,2,12.72,4,1,1,6,0,0
21896,4,113,2288.84,3,3,3,9,1,1
21897,227,3,1268.1899999999998,4,1,3,8,0,0
21898,227,25,1541.11,4,2,3,9,1,1
21899,1,282,1789.17,1,4,3,8,0,0
21900,1,374,2204.32,1,4,3,8,0,0
21901,1,309,1286.3400000000001,1,4,3,8,0,0
21902,1,212,1276.67,1,4,3,8,0,0
21903,1,182,2521.63,1,4,4,9,1,1
21904,198,23,107.10000000000001,4,2,1,7,0,0
21905,1,160,823.71,1,3,3,7,0,0
21906,1,179,4585.5599999999995,1,4,4,9,1,1
21907,2,369,5058.68,2,4,4,10,1,1
21908,1,471,7811.02,1,4,4,9,1,1
21910,296,8,59.39999999999999,4,1,1,6,0,0
21911,239,30,223.00999999999996,4,2,2,8,0,0
21912,1,396,7062.7,1,4,4,9,1,1
21913,2,150,1577.08,2,3,3,8,0,0
21914,1,605,10388.56,1,4,4,9,1,1
21915,2,670,26415.33,2,4,4,10,1,1
21916,1,360,1983.99,1,4,3,8,0,0
21917,1,227,1709.49,1,4,3,8,0,0
21918,1,372,2957.39,1,4,4,9,1,1
21922,2,208,6952.31,2,4,4,10,1,1
21925,3,69,511.25,2,3,2,7,0,0
21926,2,62,527.4,2,2,2,6,0,0
21927,8,107,819.9,3,3,3,9,1,1
21928,1,816,21639.08,1,4,4,9,1,1
21929,1,877,23568.21,1,4,4,9,1,1
21930,1,708,14037.4,1,4,4,9,1,1
21931,1,1201,31372.45,1,4,4,9,1,1
21932,1,449,5057.33,1,4,4,9,1,1
21933,1,414,4998.48,1,4,4,9,1,1
21934,1,412,4496.78,1,4,4,9,1,1
21935,1,531,6300.26,1,4,4,9,1,1
21936,1,543,11828.19,1,4,4,9,1,1
21937,6,257,4949.0,3,4,4,11,1,1
21942,1,104,323.21,1,3,2,6,0,0
21943,2,50,134.48999999999998,2,2,2,6,0,0
21944,1,100,310.19,1,3,2,6,0,0
21945,1,105,373.34,1,3,2,6,0,0
21946,2,25,75.35,2,2,1,5,0,0
21947,1,152,1142.15,1,3,3,7,0,0
21948,3,153,979.48,2,3,3,8,0,0
21949,1,144,1054.44,1,3,3,7,0,0
21955,1,206,7597.02,1,4,4,9,1,1
21967,1,232,1583.4099999999999,1,4,3,8,0,0
21972,8,67,501.97999999999996,3,3,2,8,0,0
21973,12,31,231.99999999999997,3,2,2,7,0,0
21974,2,366,3634.0499999999997,2,4,4,10,1,1
21975,2,604,6153.97,2,4,4,10,1,1
21976,1,395,2902.9,1,4,4,9,1,1
21977,1,875,12300.57,1,4,4,9,1,1
21980,1,300,2160.04,1,4,3,8,0,0
21981,1,272,1658.09,1,4,3,8,0,0
21982,1,360,2304.5299999999997,1,4,4,9,1,1
21983,1,156,784.63,1,3,3,7,0,0
21984,1,214,1134.35,1,4,3,8,0,0
21985,1,427,2737.6299999999997,1,4,4,9,1,1
21986,1,189,1197.73,1,4,3,8,0,0
21987,1,173,1355.1000000000001,1,4,3,8,0,0
21988,3,193,1862.75,2,4,3,9,1,1
21989,1,335,2235.65,1,4,3,8,0,0
21990,1,367,2895.45,1,4,4,9,1,1
21991,1,212,1095.82,1,4,3,8,0,0
21992,24,436,3529.12,3,4,4,11,1,1
21993,1,426,3378.34,1,4,4,9,1,1
22016,129,1,83.33,4,1,1,6,0,0
22021,264,71,610.4499999999999,4,3,2,9,1,1
22023,2,147,548.8,2,3,2,7,0,0
22024,1,214,1038.85,1,4,3,8,0,0
22025,1,131,771.13,1,3,3,7,0,0
22026,1,161,722.16,1,3,3,7,0,0
22027,1,365,1945.71,1,4,3,8,0,0
22028,1,263,1314.22,1,4,3,8,0,0
22029,1,528,3402.69,1,4,4,9,1,1
22030,1,274,2247.97,1,4,3,8,0,0
22031,1,81,230.63,1,3,2,6,0,0
22032,15,60,181.98,3,2,2,7,0,0
22033,17,22,141.95,3,2,2,7,0,0
22034,14,5,10.059999999999999,3,1,1,5,0,0
22035,39,137,622.36,4,3,2,9,1,1
22037,1,354,1715.48,1,4,3,8,0,0
22038,4,19,199.5,3,2,2,7,0,0
22039,45,8,115.5,4,1,1,6,0,0
22040,23,28,304.5,3,2,2,7,0,0
22041,1,365,11448.31,1,4,4,9,1,1
22042,4,40,178.41,3,2,2,7,0,0
22043,7,64,304.5,3,2,2,7,0,0
22044,33,36,196.44,4,2,2,8,0,0
22045,2,211,2715.34,2,4,4,10,1,1
22046,2,77,943.28,2,3,3,8,0,0
22047,4,107,1405.0,3,3,3,9,1,1
22048,4,33,404.0,3,2,2,7,0,0
22049,51,34,306.75,4,2,2,8,0,0
22050,4,41,509.0,3,2,2,7,0,0
22051,15,39,420.0,3,2,2,7,0,0
22052,151,29,294.0,4,2,2,8,0,0
22053,31,29,3607.6699999999996,3,2,4,9,1,1
22055,1,227,2124.24,1,4,3,8,0,0
22057,1,65,739.44,1,2,3,6,0,0
22059,1,181,2130.0,1,4,3,8,0,0
22060,200,40,1206.15,4,2,3,9,1,1
22061,1,161,4377.0599999999995,1,3,4,8,0,0
22062,57,74,686.99,4,3,2,9,1,1
22063,2,125,1405.8,2,3,3,8,0,0
22064,1,255,2613.7999999999997,1,4,4,9,1,1
22065,1,249,3492.85,1,4,4,9,1,1
22066,3,137,1053.0,2,3,3,8,0,0
22067,1,73,654.3199999999999,1,3,2,6,0,0
22068,1,145,884.8299999999999,1,3,3,7,0,0
22069,1,146,996.8,1,3,3,7,0,0
22070,1,121,2694.69,1,3,4,8,0,0
22071,1,91,1568.55,1,3,3,7,0,0
22072,1,171,2902.42,1,4,4,9,1,1
22073,219,71,1388.64,4,3,3,10,1,1
22074,1,200,1261.12,1,4,3,8,0,0
22075,1,201,2523.14,1,4,4,9,1,1
22076,1,225,1669.5299999999997,1,4,3,8,0,0
22077,1,961,17261.469999999998,1,4,4,9,1,1
22078,1,192,2948.41,1,4,4,9,1,1
22079,2,326,3397.89,2,4,4,10,1,1
22080,1,156,2044.73,1,3,3,7,0,0
22081,1,139,1209.5,1,3,3,7,0,0
22082,2,411,4749.33,2,4,4,10,1,1
22083,1,615,14324.740000000002,1,4,4,9,1,1
22084,1,438,15243.92,1,4,4,9,1,1
22085,1,97,1566.99,1,3,3,7,0,0
22086,1,1170,66112.64,1,4,4,9,1,1
22087,1,334,12117.03,1,4,4,9,1,1
22088,157,241,5810.25,4,4,4,12,1,1
22089,5,272,4460.38,3,4,4,11,1,1
22090,2,805,22987.36,2,4,4,10,1,1
22091,1,168,1041.97,1,4,3,8,0,0
22092,2,91,322.18,2,3,2,7,0,0
22093,3,161,839.08,2,3,3,8,0,0
22094,1,205,1178.17,1,4,3,8,0,0
22095,1,145,1621.47,1,3,3,7,0,0
22096,1,118,589.1600000000001,1,3,2,6,0,0
22097,1,146,743.47,1,3,3,7,0,0
22098,1,178,1033.3,1,4,3,8,0,0
22099,1,154,815.9,1,3,3,7,0,0
22100,4,59,356.46000000000004,3,2,2,7,0,0
22101,1,70,2179.53,1,3,3,7,0,0
22102,11,32,1112.64,3,2,3,8,0,0
22103,46,29,1129.7,4,2,3,9,1,1
22104,1,59,343.71,1,2,2,5,0,0
22105,2,34,1075.82,2,2,3,7,0,0
22106,1,49,1055.13,1,2,3,6,0,0
22107,1,183,2234.31,1,4,3,8,0,0
22108,1,63,415.09000000000003,1,2,2,5,0,0
22109,1,301,7043.04,1,4,4,9,1,1
22110,1,280,4919.79,1,4,4,9,1,1
22111,1,778,25054.29,1,4,4,9,1,1
22112,1,866,33415.06,1,4,4,9,1,1
22113,1,565,12909.58,1,4,4,9,1,1
22114,1,648,33312.69,1,4,4,9,1,1
22115,1,228,2020.91,1,4,3,8,0,0
22116,1,149,630.62,1,3,2,6,0,0
22117,3,95,3896.4500000000003,2,3,4,9,1,1
22118,1,89,901.46,1,3,3,7,0,0
22119,1,107,1773.52,1,3,3,7,0,0
22120,4,190,5396.34,3,4,4,11,1,1
22121,1,134,2171.6,1,3,3,7,0,0
22123,1,122,1069.1699999999998,1,3,3,7,0,0
22124,1,76,309.11,1,3,2,6,0,0
22125,16,3,139.86,3,1,2,6,0,0
22127,262,22,504.88,4,2,2,8,0,0
22128,3,79,2197.53,2,3,3,8,0,0
22129,1,100,1231.52,1,3,3,7,0,0
22130,1,112,2769.16,1,3,4,8,0,0
22131,2,292,3954.14,2,4,4,10,1,1
22132,1,155,949.2299999999999,1,3,3,7,0,0
22133,2,133,770.73,2,3,3,8,0,0
22134,1,162,419.42,1,3,2,6,0,0
22135,1,179,322.8,1,4,2,7,0,0
22136,2,85,682.38,2,3,2,7,0,0
22137,121,14,237.98000000000002,4,1,2,7,0,0
22138,1,961,24550.82,1,4,4,9,1,1
22139,1,978,23108.11,1,4,4,9,1,1
22141,1,461,6507.89,1,4,4,9,1,1
22142,1,379,4966.49,1,4,4,9,1,1
22144,1,547,9773.58,1,4,4,9,1,1
22145,366,1,63.0,4,1,1,6,0,0
22146,318,1,1.95,4,1,1,6,0,0
22147,9,489,9730.59,3,4,4,11,1,1
22148,6,188,3958.4,3,4,4,11,1,1
22149,29,556,13532.18,3,4,4,11,1,1
22150,1,472,5946.84,1,4,4,9,1,1
22151,1,337,6654.25,1,4,4,9,1,1
22152,5,107,1055.18,3,3,3,9,1,1
22153,1,134,1163.65,1,3,3,7,0,0
22154,1,165,1641.29,1,3,3,7,0,0
22155,1,143,1154.61,1,3,3,7,0,0
22156,1,269,2203.04,1,4,3,8,0,0
22157,100,11,180.2,4,1,2,7,0,0
22158,1,311,12016.630000000001,1,4,4,9,1,1
22161,1,341,1651.72,1,4,3,8,0,0
22162,16,93,873.69,3,3,3,9,1,1
22163,1,124,1062.53,1,3,3,7,0,0
22164,12,15,250.22000000000003,3,1,2,6,0,0
22165,1,147,3340.95,1,3,4,8,0,0
22166,2,89,1638.25,2,3,3,8,0,0
22167,1,159,2450.8199999999997,1,3,4,8,0,0
22168,242,85,1315.8,4,3,3,10,1,1
22169,1,389,10611.81,1,4,4,9,1,1
22170,1,270,7096.25,1,4,4,9,1,1
22171,1,398,14622.460000000001,1,4,4,9,1,1
22173,1,499,8053.47,1,4,4,9,1,1
22174,1,321,6013.429999999999,1,4,4,9,1,1
22175,1,173,2606.03,1,4,4,9,1,1
22176,40,117,1545.7300000000002,4,3,3,10,1,1
22178,1,1062,33826.37,1,4,4,9,1,1
22179,1,295,7411.9,1,4,4,9,1,1
22180,33,167,3755.99,4,3,4,11,1,1
22181,10,59,523.86,3,2,2,7,0,0
22182,1,124,1445.33,1,3,3,7,0,0
22183,27,131,1924.96,3,3,3,9,1,1
22184,317,37,488.86,4,2,2,8,0,0
22185,1,162,2291.4399999999996,1,3,3,7,0,0
22186,1,153,2129.63,1,3,3,7,0,0
22187,1,195,3260.3799999999997,1,4,4,9,1,1
22188,1,190,12491.12,1,4,4,9,1,1
22189,1,529,23495.07,1,4,4,9,1,1
22190,1,116,1057.71,1,3,3,7,0,0
22191,1,431,14624.85,1,4,4,9,1,1
22192,1,372,8357.59,1,4,4,9,1,1
22193,1,469,12075.52,1,4,4,9,1,1
22194,121,45,642.6899999999999,4,2,2,8,0,0
22195,1,374,3727.2599999999998,1,4,4,9,1,1
22196,1,476,2783.39,1,4,4,9,1,1
22197,1,1442,51720.57,1,4,4,9,1,1
22198,223,101,1940.26,4,3,3,10,1,1
22199,1,169,1961.84,1,4,3,8,0,0
22200,1,141,1824.48,1,3,3,7,0,0
22201,1,89,725.3,1,3,3,7,0,0
22202,218,38,323.1,4,2,2,8,0,0
22203,1,147,1490.63,1,3,3,7,0,0
22204,1,81,688.29,1,3,2,6,0,0
22206,18,5,4.17,3,1,1,5,0,0
22207,1,212,6120.09,1,4,4,9,1,1
22208,1,282,1588.08,1,4,3,8,0,0
22209,1,174,978.3299999999999,1,4,3,8,0,0
22210,1,187,959.6999999999999,1,4,3,8,0,0
22211,1,197,1193.6399999999999,1,4,3,8,0,0
22212,1,407,3763.94,1,4,4,9,1,1
22214,3,56,416.59999999999997,2,2,2,6,0,0
22215,1,103,2488.39,1,3,4,8,0,0
22216,1,68,512.93,1,3,2,6,0,0
22217,1,83,882.51,1,3,3,7,0,0
22218,359,1,4.25,4,1,1,6,0,0
22219,1,547,4060.08,1,4,4,9,1,1
22220,1,95,2060.7,1,3,3,7,0,0
22221,2,53,1124.44,2,2,3,7,0,0
22222,1,222,3880.2,1,4,4,9,1,1
22223,3,78,1821.6100000000001,2,3,3,8,0,0
22224,1,166,2778.8100000000004,1,3,4,8,0,0
22227,1,291,1709.3700000000001,1,4,3,8,0,0
22228,1,148,780.3299999999999,1,3,3,7,0,0
22229,5,102,434.15999999999997,3,3,2,8,0,0
22230,5,105,494.44999999999993,3,3,2,8,0,0
22231,1,153,1124.81,1,3,3,7,0,0
22232,2,88,659.18,2,3,2,7,0,0
